scope,row_index,column,before,after,source
cell,1703,cod_imposta,-,,nan_handler:placeholders
cell,1706,cod_imposta, ,,nan_handler:placeholders
cell,1712,cod_imposta,?,,nan_handler:placeholders
cell,1720,cod_imposta,//,,nan_handler:placeholders
cell,1725,cod_imposta,-,,nan_handler:placeholders
cell,1739,cod_imposta,ND,,nan_handler:placeholders
cell,1754,cod_imposta, ,,nan_handler:placeholders
cell,1831,cod_imposta,n.d.,,nan_handler:placeholders
cell,1916,cod_imposta,//,,nan_handler:placeholders
cell,1945,cod_imposta,n.d.,,nan_handler:placeholders
cell,1983,cod_imposta,?,,nan_handler:placeholders
cell,2036,cod_imposta, ,,nan_handler:placeholders
cell,2136,cod_imposta,ND,,nan_handler:placeholders
cell,2188,cod_imposta,-,,nan_handler:placeholders
cell,2191,cod_imposta, ,,nan_handler:placeholders
cell,2355,cod_imposta,?,,nan_handler:placeholders
cell,2384,cod_imposta,//,,nan_handler:placeholders
cell,2481,cod_imposta,n.d.,,nan_handler:placeholders
cell,2501,cod_imposta,unknown,,nan_handler:placeholders
cell,2506,cod_imposta,?,,nan_handler:placeholders
cell,2514,cod_imposta, ,,nan_handler:placeholders
cell,2524,cod_imposta,?,,nan_handler:placeholders
cell,2557,cod_imposta,unknown,,nan_handler:placeholders
cell,2740,cod_imposta, ,,nan_handler:placeholders
cell,2814,cod_imposta,?,,nan_handler:placeholders
cell,2831,cod_imposta, ,,nan_handler:placeholders
cell,2854,cod_imposta,ND,,nan_handler:placeholders
cell,2916,cod_imposta,//,,nan_handler:placeholders
cell,2917,cod_imposta,-,,nan_handler:placeholders
cell,2918,cod_imposta,-,,nan_handler:placeholders
cell,2943,cod_imposta,ND,,nan_handler:placeholders
cell,2974,cod_imposta,n.d.,,nan_handler:placeholders
cell,3093,cod_imposta,unknown,,nan_handler:placeholders
cell,3122,cod_imposta,//,,nan_handler:placeholders
cell,3143,cod_imposta,?,,nan_handler:placeholders
cell,3186,cod_imposta, ,,nan_handler:placeholders
cell,3304,cod_imposta,n.d.,,nan_handler:placeholders
cell,3308,cod_imposta,?,,nan_handler:placeholders
cell,3358,cod_imposta,n.d.,,nan_handler:placeholders
cell,3393,cod_imposta,?,,nan_handler:placeholders
cell,3398,cod_imposta, ,,nan_handler:placeholders
